State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,Total_Crimes,Safety_Score
Kerala,2020,2339,4782,608,5378,200,5540,14,18861,63.89962867970754
Madhya Pradesh,2020,2061,5254,197,9965,969,6729,85,25260,51.651801094820655
Maharashtra,2020,32,49,1,61,8,7,0,158,99.69758450407687
Manipur,2020,67,29,1,86,16,17,0,216,99.58657122076332
Meghalaya,2020,33,1,0,26,3,7,0,70,99.86601845117329
Mizoram,2020,4,6,1,7,2,2,0,22,99.95789151322589
Nagaland,2020,1211,3775,320,12605,615,3659,19,22204,57.501052712169354
Odisha,2020,502,1241,63,731,28,1271,11,3847,92.63675688090954
Punjab,2020,5310,4739,479,8661,85,13765,67,33106,36.63438349347319
Rajasthan,2020,12,11,0,18,0,1,0,42,99.91961107070398
Sikkim,2020,389,633,40,892,31,689,231,2905,94.43976572369176
Tamil Nadu,2020,764,1314,158,4907,565,7453,13,15174,70.95662825862267
Telangana,2020,79,110,23,115,3,356,0,686,98.6869808214983
Tripura,2020,2769,9109,2274,9864,28,14454,25,38523,26.266125636412355
Uttar Pradesh,2020,487,349,65,474,43,668,8,2094,95.99203766795544
Uttarakhand,2020,1128,7740,522,2488,446,19962,52,32338,38.10435248631474
West Bengal,2020,2,1,0,15,3,2,0,23,99.9559774910998
A & N Islands,2020,60,90,1,42,4,96,0,293,99.43919151705394
Chandigarh,2020,4,0,1,6,3,4,0,18,99.96554760173028
D&N Haveli,2020,997,2938,110,1840,416,2557,3,8861,83.0398499406653
Daman & Diu,2020,243,775,9,1744,35,349,0,3155,93.96126019216783
Delhi UT,2020,2,0,0,4,0,3,0,9,99.98277380086513
Lakshadweep,2020,3,0,0,3,1,0,0,7,99.98660184511733
Puducherry,2020,8,0,2,25,0,9,0,44,99.91578302645179
Andhra Pradesh,2021,1188,613,108,5108,2370,7092,70,16549,68.32484783524097
Arunachal Pradesh,2021,83,50,0,74,10,112,0,329,99.37028672051449
Assam,2021,1733,5739,198,4499,184,12950,22,25325,51.52738965662443
Bihar,2021,786,8661,1000,387,1,2069,32,12936,75.24020977682503
Chhattisgarh,2021,1093,1158,65,1248,238,963,3,4768,90.87394250277534
Goa,2021,72,39,0,74,20,1,1,207,99.60379741989817
Gujarat,2021,589,881,11,660,7,2271,38,4457,91.46920338399111
Haryana,2021,1716,2958,275,2882,290,5755,28,13904,73.3874363587643
Himachal Pradesh,2021,358,344,2,487,94,221,6,1512,97.10599854534318
Jammu & Kashmir,2021,1425,1159,281,1335,6,931,3,5140,90.1619262718677
Jharkhand,2021,555,906,158,5105,71,2336,190,9321,82.15939976266125
Karnataka,2021,771,179,9,4059,504,4997,5,10524,79.85683114496803
Kerala,2021,2947,6106,522,5760,250,7929,15,23529,54.96497339509245
Madhya Pradesh,2021,2496,7559,172,10568,1038,10095,95,32023,38.70726945603491
Maharashtra,2021,26,44,2,92,16,18,0,198,99.62102361903304
Manipur,2021,75,42,0,92,24,21,3,257,99.50809631359338
Meghalaya,2021,26,0,0,31,0,11,0,68,99.86984649542549
Mizoram,2021,4,5,0,11,1,2,0,23,99.9559774910998
Nagaland,2021,1456,5175,293,14853,838,4889,31,27535,47.29740075795276
Odisha,2021,464,1616,69,678,39,1714,12,4592,91.21081039696818
Punjab,2021,6337,5964,452,9079,73,16949,40,38894,25.55602342763082
Rajasthan,2021,8,1,0,17,0,3,0,29,99.94449335834322
Sikkim,2021,422,638,27,1077,32,875,381,3452,93.39279562071738
Tamil Nadu,2021,823,1934,175,4365,775,9468,12,17552,66.40508364276691
Telangana,2021,61,115,22,94,1,355,0,648,98.75971366228994
Tripura,2021,2845,10574,2222,9393,27,18375,12,43448,16.83956666539065
Uttar Pradesh,2021,534,402,72,655,13,519,17,2212,95.76618305707613
Uttarakhand,2021,1123,7376,454,2485,424,19952,50,31864,39.01159897408414
West Bengal,2021,15,0,1,32,4,4,0,56,99.89281476093863
A & N Islands,2021,74,120,4,37,6,95,0,336,99.35688856563182
Chandigarh,2021,3,23,0,7,0,6,0,39,99.92535313708227
D&N Haveli,2021,1250,4083,141,2068,417,4731,4,12694,75.7034031313402
Daman & Diu,2021,315,904,16,1851,10,501,1,3598,93.1133483903074
Delhi UT,2021,2,1,0,5,1,9,0,18,99.96554760173028
Lakshadweep,2021,0,0,0,1,1,3,0,5,99.99042988936952
Puducherry,2021,2,0,2,31,3,12,0,50,99.90429889369521
